id_firma,domeniu,emailuri,pagini_ok,nota
1340,piete-tgmures.ro,contact@piete-tgmures.ro,4,
1342,adrusolution.ro,contact@adrusolution.ro,4,
1343,transylvaniaairport.ro,office@transylvaniaairport.ro,4,
1344,ropharma.ro,,0,
1357,agrolegvaro.ro,,0,robots inaccesibil
1359,agroprestgroup.ro,,7,
1362,agrosprint.ro,,1,
1364,aksd.ro,,7,
1370,aliat-ams.ro,anabella.inta@aliat-ams.ro;iulian.marian@aliat-ams.ro;loredana.egri@aliat-ams.ro;office@aliat-ams.ro;sabin.catana@aliat-ams.ro;sandor.makkai@aliat-ams.ro;sorin.negru@aliat-ams.ro;szabolcs.boloni@aliat-ams.ro;vlad.negru@aliat-ams.ro,1,
1374,alltin.ro,balastiera@alltin.ro,4,
1383,sovata-alunis.ro,office@sovata-alunis.ro,2,
1397,anvico.ro,,0,robots inaccesibil
1408,molyslip.ro,office@molyslip.ro,2,
1415,atd.ro,,1,
1429,b2bsynergy.ro,contact@b2bsynergy.ro;office@b2bsynergy.ro,2,
1437,barcsamarket.ro,,0,robots inaccesibil
1451,biflora.ro,,1,
1457,birendra.ro,,7,
1466,bigal.ro,comercial@bigal.ro;office@bigal.ro;tehnic@bigal.ro,3,
1480,ro.mcd.com,,0,robots inaccesibil
1493,motelsighisoara.com,office@motelsighisoara.com,2,
1499,cgarhivare.ro,cv@cgarhivare.ro;depozit@cgarhivare.ro;office@cgarhivare.ro,1,
1509,cieautomotive.com,,1,
1519,ceramicmozaic.ro,n.peter@ceramicmozaic.ro;office@ceramicmozaic.ro,3,
1551,creatoys.ro,,4,
1577,deltatherm.ro,contact@deltatherm.ro,3,
1598,drumserv.ro,office@drumserv.ro,3,
1608,eet.ro,comenzi@eet.ro;hr@eet.ro;office@eet.ro;service@eet.ro,2,
1616,eganprod.ro,,2,
1628,elmed.ro,ati@elmed.ro;chirurgie@elmed.ro;chirurgiecardiovasculara@elmed.ro;chirurgieplastica@elmed.ro;dermatologie@elmed.ro;elmed@elmed.ro;gastroenterologie@elmed.ro;ginecologie@elmed.ro;neurochirurgie@elmed.ro;office@elmed.ro;oftalmologie@elmed.ro;orl@elmed.ro;ortopedie@elmed.ro;pneumologie@elmed.ro;service@elmed.ro;stomatologie@elmed.ro;urologie@elmed.ro;vet@elmed.ro,1,
1636,energystar.ro,,7,
1644,plazam.ro,info@plazam.ro,2,
1657,ever-green.ro,office@ever-green.ro,3,
1667,fancourier.ro,,7,
1686,dracul.ro,info@dracul.ro,1,
1694,fomcogroup.ro,,4,
1702,foodexim.ro,,0,robots inaccesibil
1662,expertcompany.ro,,3,
1700,fomcotruckservice.ro,%20marketing@fomcotruckservice.ro;marketing@fomcotruckservice.ro,1,robots inaccesibil
1724,gliga.ro,,0,
1735,grupsimex.ro,,0,robots inaccesibil
1751,hidrosalt.ro,contact@hidrosalt.ro,1,
1766,imaconcept.ro,office@imaconcept.ro,4,
1775,materom.ro,livrare@materom.ro;office@materom.ro,3,
1781,instgaz.ro,office@instgaz.ro,4,
1791,irum.ro,office@irum.ro,4,
1803,katan.ro,,0,
1812,kissunicum.ro,,1,
1824,landmania.ro,,0,
1831,lineconnect.ro,,1,
1843,macarale-mures.ro,,0,
1862,mariantherm.de,,7,
1872,materom.ro,livrare@materom.ro;office@materom.ro,3,
1879,cisterna.ro,,1,
1886,medifarmonline.ro,,7,
1898,milkpact.ro,office@milkpact.ro,5,
1910,seminte-andra.ro,office@seminte-andra.ro,4,
1918,msprojects.ro,adelina.partenie@msprojects.ro;ala.agrici@msprojects.ro;alexandru.hahue@msprojects.ro;alexandru.marin@msprojects.ro;andrei.ghita@msprojects.ro;andrei.lita@msprojects.ro;bianca.zvanca@msprojects.ro;cornel.cremeriuc@msprojects.ro;dinu.samboan@msprojects.ro;info@msprojects.ro;madalina.samboan@msprojects.ro;ramona.caramalau@msprojects.ro;vasile.palcu@msprojects.ro,1,
1925,mureshidraulici.com,info@mureshidraulici.com,2,
1936,nhomedesign.ro,comenzi@nhomedesign.ro,4,
1943,nexon.ro,,0,robots inaccesibil
1950,nivelco.com,,7,
1960,oapt.ro,office@oapt.ro,3,
1970,filbo.ro,,0,
1981,pacovis.ro,desfacere@pacovis.ro;leszai.almos@pacovis.ro;office@pacovis.ro,4,
1993,electrostar-mures.ro,,1,
2003,plasmaserv.ro,comenzi@plasmaserv.ro;comercial@plasmaserv.ro;contabilitate@plasmaserv.ro;marketing@plasmaserv.ro;service@plasmaserv.ro,3,
2012,upss.ro,office@upss.ro;secretariat1@upss.ro;tehnic2@upss.ro;tehnic5@upss.ro;vanzari1@upss.ro;vanzari4@upss.ro,3,
2018,printex-bte.ro,,0,
2028,electrolight.ro,,2,
2036,proflex.ro,office@proflex.ro,7,
2045,purama.ro,,0,robots inaccesibil
2054,rcboffice.ro,,0,robots inaccesibil
2061,reichon.ro,,0,
2071,hotelriver.ro,rezervari@hotelriver.ro,2,
2080,romchim.ro,contact@romchim.ro;office@romchim.ro,3,
2089,rovitaflora.ro,info@rovitaflora.ro,1,
2099,sabisor.ro,office@sabisor.ro,1,
2111,legionguard.ro,,0,robots inaccesibil
2118,semtest-bvn.ro,contab@semtest-bvn.ro;contact@semtest-bvn.ro;danut@semtest-bvn.ro;harceaga@semtest-bvn.ro;peterfi@semtest-bvn.ro,5,
2129,gombos-security.ro,http://office@gombos-security.ro;office@gombos-security.ro,5,
2138,sonnentor.ro,office@sonnentor.ro,1,
2153,cilfood.ro,,7,
2159,eurosandoor.ro,office@eurosandoor.ro,7,
2168,tbsaviation.ro,,1,
2176,jacontex.ro,,1,
2188,timberstar-medical.ro,office@timberstar-medical.ro,7,
2199,topmed.ro,office@topmed.ro,1,
2211,razvanidicel.ro,adelina@razvanidicel.ro,1,
2228,turbocam.com,,2,
2240,smartwash.ro,office@smartwash.ro,5,
2249,veltol.com,office@veltol.com;service@veltol.com,2,
2257,vimspectrum.ro,vim@vimspectrum.ro,2,
2267,hotel-business.ro,,1,
2274,westfleisch.ro,,0,robots inaccesibil
2284,zimag.ro,contact@zimag.ro,2,
2423,sistemplast.ro,comercial@sistemplast.ro;gabriel.bontea@sistemplast.ro;office@sistemplast.ro,4,
1376,all4plast.ro,office@all4plast.ro,5,
1387,liliac.com,hello@liliac.com,7,
1399,apiprodex.eu,office@apiprodex.eu,1,
1409,armosprotect.ro,office@armosprotect.ro;officep@armosprotect.ro,2,
1416,atlassport.ro,contact@atlassport.ro,5,
1430,fivmures.ro,office@fivmures.ro,3,
1438,bartrom.ro,bartrom@bartrom.ro,7,
1452,bilytrans.ro,contact@bilytrans.ro;pallexcontact@bilytrans.ro;vanzari@bilytrans.ro,3,
1459,blondyromania.ro,attila.ravasz@blondyromania.ro;borianna.iszlai@blondyromania.ro;emese.troznai@blondyromania.ro;ilona.kluzsan@blondyromania.ro;kinga.farkas@blondyromania.ro;kriszta.kluzsan@blondyromania.ro;office@blondyromania.ro;rita.gorog@blondyromania.ro;tibor.panczel@blondyromania.ro;tunde.duha@blondyromania.ro,2,
1472,bsguarding.ro,contact@bsguarding.ro,4,
1481,cableteam.ro,purchase@cableteam.ro;sales@cableteam.ro,2,
1494,casapetrina.ro,office@casapetrina.ro,4,
1500,topmed.ro,office@topmed.ro,1,
1510,cisgaz.com,office@cisgaz.com,3,
1521,imperialinn.ro,reservations@imperialinn.ro;spa@imperialinn.ro,4,
1553,cromatictipo.ro,cromatictipo@cromatictipo.ro,4,
1582,depomures.ro,,0,robots inaccesibil
1600,nituri.ro,,1,
1609,ecofruct.eu,office@ecofruct.eu,4,
1617,18gym.ro,,3,
1629,ciupercamica.ro,info@ciupercamica.ro,7,
1637,entera.ro,acasa@entera.ro,4,
1646,eurogassystems.com,office@eurogassystems.com;roger.wachter@eurogassystems.com;sumaila.kotomah@eurogassystems.com,2,
1658,evoracenter.ro,,1,
1668,fandemo.ro,,1,
1687,fiord.ro,,1,
1695,fomco.ro,,4,
1703,forpharma.ro,,0,
1717,geiger.ro,office@geiger.ro,2,
1670,farel.ro,,0,robots inaccesibil
1705,foriscompany.ro,,4,
1725,artposters.ro,,0,
1737,gst-global.com,,0,robots inaccesibil
1752,hirschmann-automotive.com,,1,
1769,indfloor.ro,,0,
1776,inreco.ro,inreco@inreco.ro,1,
1782,intaro.ro,,1,
1796,swanwindows.com,,2,
1806,kern-liebers.com,info@kern-liebers.com,1,
1813,kodagro.ro,,1,
1825,lasprom.ro,office@lasprom.ro,3,
1833,locativmures.ro,office@locativmures.ro,5,
1846,mures.rdsmail.ro,,0,
1863,marisprod.ro,office@marisprod.ro,1,
1873,materom.ro,livrare@materom.ro;office@materom.ro,3,
1880,mdl.ro,,0,
1888,meesenburg.ro,info@meesenburg.ro;office@meesenburg.ro,2,
1899,mirdatod.ro,office@mirdatod.ro,1,
1911,mondocars.ro,,2,
1920,multinvest.ro,office@multinvest.ro,7,
1926,murestransporte.com,,1,
1937,nelmarc.ro,office@nelmarc.ro,2,
1944,nextlan.ro,,1,
1951,noepsiho.ro,info@noepsiho.ro,3,
1961,oblio-sighisoara.ro,office@oblio-sighisoara.ro;vanzari@oblio-sighisoara.ro,3,
1971,puiuldecraiesti.ro,,2,
1983,palascom.ro,office@palascom.ro,1,
1994,salanuntisighisoara.ro,,1,
2004,plasmaterm.ro,,4,
2013,premaco.ro,,1,
2019,hotelprivo.ro,,0,robots inaccesibil
2030,professionalrecycle.ro,calin.husti@professionalrecycle.ro;mihail.moloiu@professionalrecycle.ro;office@professionalrecycle.ro;vlad.laslo@professionalrecycle.ro,2,
2037,protech.ro,,0,robots inaccesibil
2046,qfluid.ro,qfluid@qfluid.ro,2,
2055,bluesky.ro,,0,
2064,remei.ro,,0,robots inaccesibil
2072,rodacia.ro,,0,robots inaccesibil
2082,romflag.ro,,0,robots inaccesibil
2092,dru.ro,info@dru.ro,3,
2101,saip.ro,office@saip.ro,3,
2112,securitechromprod.ro,csaba.darvas@securitechromprod.ro;office@securitechromprod.ro,3,
2119,senin.ro,office@senin.ro,1,
2130,sirod.ro,,7,
2139,motel-sora.ro,,1,
2154,hptornade.ro,,0,robots inaccesibil
2160,sylevycleaning.ro,reclamatii@sylevycleaning.ro,4,
2169,tectona.ro,,4,
2178,textor-textiles.ro,,0,robots inaccesibil
2190,progesaitalia.com,,0,robots inaccesibil
2200,topmotive.eu,info@staging.topmotive.eu;info@topmotive.eu,2,
2216,trans-technik.ro,contact@trans-technik.ro,4,
2232,ultrajet.ro,office@ultrajet.ro,3,
2242,valpet.ro,office@valpet.ro,1,
2250,verdiconstruct.ro,office@verdiconstruct.ro,3,
2261,thevitagroup.com,,3,
2269,wpowertech.ro,,7,
2275,wetralog.ro,,0,robots inaccesibil
2286,zoomcadiss.ro,contact@zoomcadiss.ro,4,
1377,allcolors.ro,,0,robots inaccesibil
1390,amismob.ro,,0,robots inaccesibil
1401,arcoflor.ro,office@arcoflor.ro,2,
1410,artemobinternational.com,,7,
1419,autobit.ro,,7,
1431,baggerman.ro,http://info@baggerman.ro;info@baggerman.ro,2,
1443,benuticompany.ro,,0,robots inaccesibil
1453,bioaqua.ro,office@bioaqua.ro,2,
1460,bluecon.ro,,1,
1473,buchen.net,,7,
1482,cadrupo.ro,,1,
1495,caseasphalt.com,,0,
1502,ceragrim.ro,office@ceragrim.ro,1,
1511,cisengineering.ro,,0,robots inaccesibil
1522,colorexpert.ro,,0,robots inaccesibil
1532,complexpadesul.ro,,0,robots inaccesibil
1540,mapcom.ro,,1,
1554,kalenda.ro,bucuresti@kalenda.ro;cluj@kalenda.ro;magazin.tgm@kalenda.ro;marian@kalenda.ro;oradea@kalenda.ro;reclamatii@kalenda.ro,2,
1569,darina.ro,client@darina.ro;office@darina.ro,3,
1576,delgaz-grid.ro,,0,robots inaccesibil
1586,dianatrans.ro,dianatrans@dianatrans.ro;info@dianatrans.ro,1,
1528,comoserv.ro,rom.comoserv.office@comoserv.ro,7,
1560,dafcochim.ro,,1,
1583,deterlife.ro,office@deterlife.ro,2,
1603,eon-asistcomplet.ro,,0,robots inaccesibil
1611,tifui.ro,office@tifui.ro,4,
1620,eldi.ro,contact@eldi.ro,2,
1632,rge.ro,,1,
1639,deliz.ro,,4,
1647,agroman.ro,,0,
1688,efitofarmacie.ro,contact@efitofarmacie.ro,3,
1712,anticomestiere.ro,contact@anticomestiere.ro;office@anticomestiere.ro,2,
1728,gralemn.ro,contact@gralemn.ro,4,
1742,hartmann-group.ro,office@hartmann-group.ro,1,
1753,hmconstruct.ro,hmc@hmconstruct.ro,4,
1770,indlacto.ro,office@indlacto.ro,7,
1777,insta-grup.ro,office@insta-grup.ro,1,
1783,interdis.ro,office@interdis.ro,1,
1797,joempan.ro,,4,
1807,kersia-group.com,,2,
1814,kovacstrade.ro,,2,
1826,lateralgroup.com,hello@lateralgroup.com,2,
1834,loriand.ro,,1,
1847,flacoanepet.ro,,1,
1864,markromania.ro,,1,
1874,materom.ro,livrare@materom.ro;office@materom.ro,3,
1881,mt-distributions.ro,office@mt-distributions.ro,4,
1889,megadata.ro,,0,robots inaccesibil
1904,mobex.ro,office@mobex.ro,2,
1913,monosuisse.com,info@monosuisse.com,2,
1921,multinvest.ro,office@multinvest.ro,7,
1931,solutiimedicalenebunatice.ro,vanzari@solutiimedicalenebunatice.ro,5,
1938,metallix.ro,info@metallix.ro,1,
1945,nicodeniss.ro,,0,
1953,editurakreativ.ro,vanzari@editurakreativ.ro,4,
1964,olteanprodlemn.ro,contact@olteanprodlemn.ro,2,
1972,optica-optofarm.ro,jeremias@optica-optofarm.ro,2,
1986,parat.eu,,1,
1998,pick-up.ro,,2,
2005,plasticeng.ro,,0,
2014,prestconstar.ro,contact@prestconstar.ro,4,
2020,procardia.ro,procardia@procardia.ro,5,
2032,scprofil.ro,office@scprofil.ro,3,
2038,proliniarut.ro,,2,
2047,qualiplant.ro,alexandra@qualiplant.ro;ana@qualiplant.ro;andreea@qualiplant.ro;ionut.arvai@qualiplant.ro;mircea@qualiplant.ro;office@qualiplant.ro;robert@qualiplant.ro;vasile@qualiplant.ro,1,
2056,recrimco.com,contact@recrimco.com,2,
2065,remex.ro,http://info@remex.ro;info@remex.ro,2,
2073,roecologic.ro,info@roecologic.ro,1,robots inaccesibil
2083,rominsta.ro,financiar@rominsta.ro;office@rominsta.ro;sales@rominsta.ro;secretariat@rominsta.ro;tehnic@rominsta.ro,4,
2093,dru.ro,info@dru.ro,3,
2104,doraoptics.ro,,4,
2113,sefar.com,,0,
2121,sereledalin.ro,office@sereledalin.ro,1,
2131,armura.ro,,1,
2140,sunnyplast.ro,hr@sunnyplast.ro;office@sunnyplast.ro,5,
2155,echipro.ro,contact@echipro.ro;service@echipro.ro;vanzari@echipro.ro,7,
2161,szovata.ro,,1,
2170,tekarom.com,comenzi@tekarom.com,1,
2179,textura.hu,sales@textura.hu,1,
2192,casadevismures.ro,office@casadevismures.ro,2,
2201,kallos.ro,,2,
2217,transfabilog.ro,office@transfabilog.ro,4,
2233,uniytechelectromontaj.ro,,1,
2244,electromures.eu,,0,robots inaccesibil
2251,verdinvest.ro,,2,
2262,vital-logistic.ro,contact@vital-logistic.ro,4,
2270,webbeds.com,americas.careers@webbeds.com;americas.chains@webbeds.com;americas.investigations@webbeds.com;americas.marketing@webbeds.com;americas.sales@webbeds.com;americas.support@webbeds.com;americas.updates@webbeds.com;apac.apsupport@webbeds.com;apac.careers@webbeds.com;apac.contractsupport@webbeds.com;apac.marketing@webbeds.com;apac.sales@webbeds.com;apcredit.mea@webbeds.com;chains.europe@webbeds.com;content@webbeds.com;contracting.americas@webbeds.com;customerexperience@webbeds.com;customerservice@webbeds.com;dotw.ap.usa@webbeds.com;dotw_apac.ca@webbeds.com;dotw_support@webbeds.com;eur-suppliers@webbeds.com;europe.careers@webbeds.com;europe.marketing@webbeds.com;inresort@webbeds.com;manila.careers@webbeds.com;mea.careers@webbeds.com;mea.chains@webbeds.com;mea.commercial.support@webbeds.com;mea.marketing@webbeds.com;mea.sourcing@webbeds.com;partnersupport@webbeds.com;sales@webbeds.com;sh_suppliers@webbeds.com;stopsales.americas@webbeds.com;stopsales.apac@webbeds.com;stopsales.mea@webbeds.com;suppliers@webbeds.com;vcc.apac@webbeds.com;vcc.eur@webbeds.com;vcc.global@webbeds.com;vcc.usa@webbeds.com,1,
2277,wshtechnology.ro,office@wshtechnology.ro,1,
2338,thracegreiner.ro,,5,
1378,allstar.ro,,1,
1391,anfeed.ro,,7,
1403,ardon4safety.ro,ardon@ardon4safety.ro,1,
1411,hotelpacsirta.ro,office@hotelpacsirta.ro,3,
1422,westcar.ro,,1,
1432,clubapollo.ro,balneo@clubapollo.ro;hotel@clubapollo.ro;http://balneo@clubapollo.ro;http://hotel@clubapollo.ro;http://spa@clubapollo.ro;spa@clubapollo.ro,3,
1445,beres.ro,,0,
1454,bioeel.ro,office@bioeel.ro;pharmacovigilance@bioeel.ro,7,
1461,blueisland.ro,becky@blueisland.ro;horea@blueisland.ro;office@blueisland.ro;vlad@blueisland.ro,6,
1474,bucinmob.ro,comenzi@bucinmob.ro;officebv@bucinmob.ro,7,
1485,camelweb.com,,1,
1496,cataloniainox.ro,office@cataloniainox.ro,3,
1506,cfpconstruct.ro,office@cfpconstruct.ro,3,
1516,cleanika.com,,5,
1523,hotelkorona.ro,,1,
1535,naturalsmile.ro,office@naturalsmile.ro,3,
1544,consuselectric.ro,office@consuselectric.ro,1,
1556,onesta.ro,,0,robots inaccesibil
1571,caparol.ro,,1,robots inaccesibil
1529,aquaserv.ro,,2,
1568,daralex-trans.ro,,7,
1589,dlm.com.ro,office@dlm.com.ro,4,
1604,eon-romania.ro,,0,
1613,ecoservsig.ro,contact@ecoservsig.ro,2,
1622,electricemures.ro,office@electricemures.ro,1,
1633,energenta.ro,,1,
1640,enesa.ro,contact@enesa.ro,4,
1648,euronarcis.ro,,0,robots inaccesibil
1663,urbanintelligence.ro,office@urbanintelligence.ro,1,
1677,farmatop.net,,1,
1691,floradismetal.ro,contact@floradismetal.ro,1,
1698,fomcosolar.ro,,1,robots inaccesibil
1706,prolift.ro,adrian@prolift.ro;bogdan@prolift.ro;dan@prolift.ro;george@prolift.ro;georgiana@prolift.ro;iulian@prolift.ro;leo@prolift.ro;marius@prolift.ro,1,
1723,gliga.ro,,0,
1731,gfgroup.ro,office@gfgroup.ro,1,
1745,hellenergy.ro,,1,
1754,hochland.com,,1,
1692,flowersolutions.ro,lori@flowersolutions.ro,3,
1713,gastrometal.ro,,0,
1729,hotelgrand.ro,rezervari@hotelgrand.ro,1,
1743,hasel.ro,office@hasel.ro,1,
1756,markholz.ro,office@markholz.ro,1,
1771,ladiavolorestaurants.ro,contact@ladiavolorestaurants.ro,4,
1778,inoxpress.ro,achizitii@inoxpress.ro;galfi.norbert@inoxpress.ro;office@inoxpress.ro;soos.alpar@inoxpress.ro;soos.cristina@inoxpress.ro,4,
1784,interceram.ro,contact@interceram.ro;shop@interceram.ro,2,
1798,jsssecurity.ro,office@jsssecurity.ro,4,
1808,kiagold.ro,,1,
1815,kraft-group.eu,info@kraft-group.eu,2,
1827,lateral.ro,,0,robots inaccesibil
1838,lumeabasmelor.ro,info@lumeabasmelor.ro,1,
1853,mammothtyres.ro,,1,
1866,marovapetfood.ro,contact@marovapetfood.ro,2,
1875,materom.ro,livrare@materom.ro;office@materom.ro,3,
1882,promagshop.ro,office@promagshop.ro,4,
1890,megamontaj.ro,megamontaj@megamontaj.ro,3,
1906,mobiladalin.ro,dalin@mobiladalin.ro;reclamatii@mobiladalin.ro,3,
1914,montrepcom.ro,office@montrepcom.ro,3,
1922,multiplan.ro,office@multiplan.ro,2,
1932,nakita.ro,bacau@nakita.ro;bucuresti@nakita.ro;nakita@nakita.ro,5,
1939,neon-sign.ro,attila.domokos@neon-sign.ro;hannes@neon-sign.ro;helga.butiu@neon-sign.ro;marius.borda@neon-sign.ro;monika.ns@neon-sign.ro;office@neon-sign.ro;ovidiu@neon-sign.ro,5,
1946,nicolay.de,info@nicolay.de,1,
1954,nordenlor.ro,office@nordenlor.ro,1,
1965,olting.ro,,0,
1973,ordea.ro,office@ordea.ro;vanzari@ordea.ro,2,
1987,parconfreiwald.ro,comert@parconfreiwald.ro,3,
1999,freemail.hu,,7,
2006,contiplay.ro,,0,robots inaccesibil
2015,petry.ro,,1,
2023,pacovis.ro,desfacere@pacovis.ro;leszai.almos@pacovis.ro;office@pacovis.ro,4,
2033,concept-9.ro,office@concept-9.ro,2,
2040,promedivet.ro,office@promedivet.ro,3,
2048,hotelcrystal.ro,,2,
2057,recyclingprod.ro,,7,
2066,renania.ro,,5,
2075,robertserv.ro,%20office@robertserv.ro;cz.peter@robertserv.ro;cz.veronicar@robertserv.ro;f.karoly@robertserv.ro;office@robertserv.ro,4,
2086,romstalmures.ro,,0,robots inaccesibil
2094,royalfish.ro,info@royalfish.ro,1,
2105,sanicom.ro,,0,
2114,restaurantlyra.ro,office@restaurantlyra.ro,2,
2124,digicomm.ro,,7,
2133,smartsoft.ro,,1,
2144,stefiregale.ro,contact@stefiregale.ro,7,
2156,surisped.ro,office@surisped.ro,1,
2163,systemaglobal.ro,hr@systemaglobal.ro;lavinia.biris@systemaglobal.ro;office@systemaglobal.ro;secretariat@systemaglobal.ro,7,
2171,teletec.ro,,0,
2181,therezia.ro,calitate@therezia.ro;comercial@therezia.ro;laborator@therezia.ro;productie@therezia.ro;therezia@therezia.ro,4,
2194,topelectro.ro,,4,
2205,expert-sport.ro,comenzi@expert-sport.ro,1,
2220,transportlocal.ro,office@transportlocal.ro,7,
